epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1067.52,0.75593,0.78044,1.11856,0.9108,0.82186,0.87178,0.69125,0.66192,0.56023,1.06408,0.00033325,0.00033325,0.00033325
2,2095.26,0.62948,0.52243,1.04363,0.9283,0.84653,0.8886,0.73656,0.58152,0.49639,1.01698,0.000600592,0.000600592,0.000600592
3,3111.86,0.57484,0.4631,1.01214,0.92785,0.85508,0.89597,0.75213,0.54586,0.44418,1.0065,0.000801933,0.000801933,0.000801933
4,4121.67,0.51978,0.41125,0.98355,0.93428,0.866,0.90609,0.77664,0.49665,0.40503,0.98214,0.000703,0.000703,0.000703
5,5130.89,0.48383,0.37615,0.96454,0.94157,0.86412,0.90641,0.78682,0.46657,0.37029,0.96352,0.000604,0.000604,0.000604
6,6139.78,0.44867,0.34732,0.94789,0.95126,0.87867,0.9157,0.80619,0.44542,0.35044,0.95195,0.000505,0.000505,0.000505
7,7152.59,0.4244,0.32565,0.93479,0.95177,0.88219,0.91704,0.81041,0.42513,0.32705,0.95071,0.000406,0.000406,0.000406
8,8162.83,0.39816,0.30373,0.9249,0.96057,0.88828,0.92148,0.82107,0.40584,0.31598,0.93781,0.000307,0.000307,0.000307
9,9172.17,0.3759,0.2825,0.91512,0.95597,0.88816,0.92009,0.82627,0.39091,0.30136,0.93254,0.000208,0.000208,0.000208
10,10181.8,0.3542,0.26488,0.90648,0.9579,0.89725,0.92574,0.83557,0.36826,0.28281,0.92433,0.000109,0.000109,0.000109
