epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,528.993,0.62806,1.68097,0.72155,0.9527,0.95999,0.85758,0.91389,0.80967,0.8922,0.7645,0.79559,0.57855,0.45372,1.21528,0.42339,0.88818,0.0006665,0.0006665,0.0006665
2,1044.2,0.5348,1.35327,0.49597,0.90898,0.9686,0.86302,0.91819,0.84311,0.92071,0.79247,0.82989,0.63473,0.3961,1.01583,0.3544,0.87101,0.00126717,0.00126717,0.00126717
3,1555.49,0.49919,1.23561,0.45595,0.89644,0.97095,0.87487,0.92531,0.85865,0.91842,0.80936,0.8408,0.66508,0.36327,0.93078,0.3167,0.86164,0.00180185,0.00180185,0.00180185
4,2066.52,0.47307,1.16905,0.43081,0.88861,0.98029,0.8725,0.92183,0.85986,0.93034,0.81773,0.85158,0.68068,0.34866,0.87339,0.30394,0.85483,0.001703,0.001703,0.001703
5,2577.01,0.44326,1.09039,0.40287,0.87663,0.97972,0.87626,0.91864,0.86683,0.93586,0.82128,0.85787,0.69604,0.32917,0.83617,0.28738,0.85209,0.001604,0.001604,0.001604
6,3087.51,0.42632,1.04172,0.38627,0.87038,0.97921,0.87851,0.9208,0.8708,0.9306,0.82079,0.85489,0.69633,0.3076,0.81228,0.26602,0.84477,0.001505,0.001505,0.001505
7,3599.01,0.41126,1.01348,0.37324,0.86526,0.97854,0.88134,0.92111,0.87499,0.94011,0.83249,0.86407,0.71422,0.29757,0.76059,0.25679,0.84015,0.001406,0.001406,0.001406
8,4110.23,0.39845,0.96887,0.36145,0.86134,0.98238,0.87915,0.92527,0.8823,0.94377,0.82536,0.86787,0.72397,0.29131,0.76027,0.24854,0.83824,0.001307,0.001307,0.001307
9,4621.35,0.38708,0.9451,0.3504,0.85801,0.98049,0.88115,0.92209,0.88031,0.9454,0.8313,0.86836,0.72924,0.28257,0.73635,0.24117,0.83588,0.001208,0.001208,0.001208
10,5133.39,0.37846,0.91654,0.34267,0.85412,0.98407,0.87988,0.92338,0.88447,0.94186,0.83554,0.86866,0.72915,0.27598,0.71218,0.23603,0.83578,0.001109,0.001109,0.001109
11,5604.72,0.30673,0.67288,0.26384,0.8124,0.98122,0.87716,0.919,0.87935,0.94677,0.82928,0.86712,0.73093,0.2742,0.70381,0.23313,0.83464,0.00101,0.00101,0.00101
12,6075.76,0.29447,0.64299,0.25359,0.80855,0.98401,0.87623,0.92006,0.88232,0.94444,0.83605,0.86812,0.73327,0.26655,0.68362,0.22717,0.83225,0.000911,0.000911,0.000911
13,6547.06,0.28282,0.62008,0.24263,0.80394,0.98048,0.87894,0.92187,0.88632,0.94892,0.83605,0.87304,0.744,0.26051,0.66906,0.22052,0.83097,0.000812,0.000812,0.000812
14,7018.33,0.2758,0.60684,0.23566,0.80232,0.9876,0.87787,0.92481,0.8909,0.95397,0.83282,0.87467,0.75189,0.25455,0.6561,0.21423,0.82762,0.000713,0.000713,0.000713
15,7489.76,0.26729,0.58996,0.22901,0.7997,0.98819,0.87572,0.92133,0.88777,0.9522,0.83432,0.87052,0.74591,0.25104,0.6424,0.21056,0.82674,0.000614,0.000614,0.000614
16,7961.01,0.25951,0.56869,0.22058,0.79719,0.98956,0.87742,0.92242,0.88927,0.95589,0.83605,0.87208,0.75038,0.24651,0.6293,0.20401,0.82643,0.000515,0.000515,0.000515
17,8432.4,0.25159,0.54659,0.21459,0.794,0.98854,0.87751,0.91929,0.8865,0.95173,0.83655,0.86646,0.7482,0.24062,0.60912,0.20243,0.82232,0.000416,0.000416,0.000416
18,8903.9,0.24468,0.53148,0.20755,0.79334,0.98703,0.87843,0.92549,0.89532,0.95092,0.83765,0.87451,0.75908,0.2385,0.60683,0.19684,0.82359,0.000317,0.000317,0.000317
19,9375.03,0.23705,0.51406,0.20094,0.79087,0.98501,0.8804,0.92157,0.89041,0.95126,0.83724,0.86864,0.75243,0.23586,0.60995,0.19591,0.82272,0.000218,0.000218,0.000218
20,9846.56,0.23012,0.49978,0.19543,0.78874,0.98577,0.87996,0.92358,0.89302,0.95222,0.83467,0.86715,0.75469,0.23162,0.5963,0.19166,0.82161,0.000119,0.000119,0.000119
